groupV.NS1	groupV.NS2	groupV.NS3	AveExpr	F	P.Value	adj.P.Val
FBgn0031950	0.0143185247218709	0.430608202958488	-0.0703107727087357	6.42328161319617	12.457085817941	2.7372677532948e-06	0.000185784330894678
FBgn0036058	0.00287003672884937	0.334632050041099	0.204947089917975	6.69280176525784	12.4283431782891	2.80587869711889e-06	0.000189019902976807
FBgn0032262	-1.3439403328125	-1.51301369261499	-0.31223120316908	4.64760963672149	12.4179961614954	2.83101194875586e-06	0.000189300332306809
FBgn0027330	-0.00387144378962806	-2.23847425746809	0.310319594324097	3.09036705533015	12.362320116556	2.97031339093636e-06	0.000197154551323401
FBgn0003502	0.0786983390789815	-0.363818223928277	-0.409488507184722	5.46018399811552	12.3506801369733	3.00032355574405e-06	0.000197692852100011
FBgn0034879	-0.208857067734067	-0.270995280202605	1.03315856396877	3.76061808909561	12.3200083564737	3.08091547089868e-06	0.000201532057650742
FBgn0030321	-0.278321946902913	-0.976032866563231	-0.0589057016030406	6.08716343758294	12.2298022081478	3.33119318681846e-06	0.000216335833794318
FBgn0000566	-0.514618153409927	-1.08844184107597	-0.199114607516698	5.34317253545139	12.1907486281489	3.445996018265e-06	0.000222192900406272
FBgn0035348	2.39775902008491	0.375124869789326	0.273954811446938	6.93483142711174	12.1693612743054	3.51059651228783e-06	0.000224752870329236
FBgn0052512	-0.815032304329284	0.373526492532752	1.07501314122899	5.55786809942772	12.141280196821	3.59732589781672e-06	0.000228683527321067
FBgn0030607	-1.38967600742105	0.157069729905815	0.716869766866634	6.14172052071837	12.106584111504	3.7075610070529e-06	0.000234043029445221
FBgn0036248	-0.236995036341959	-0.834777358676517	-0.528593248611781	3.98325147516285	12.0723841450188	3.81964822826602e-06	0.000238863797709448
FBgn0013269	-0.235404560154946	-0.927486351753738	0.543798747270059	5.08854727426686	12.0672275534123	3.83685063341863e-06	0.000238863797709448
FBgn0051174	-1.27609754253486	-2.96105669198064	-1.57552575782558	0.471878713928363	12.0588801890575	3.86486779757258e-06	0.000238960011018408
FBgn0030672	0.00642266022154989	-0.0577041608473625	0.614338268829612	7.46424982636803	12.0467588129545	3.9059300026718e-06	0.000239186464040987
FBgn0035270	0.451652757550263	0.198092366661677	-0.0881811449255555	5.7897764418159	12.0343139162498	3.94855863740903e-06	0.000239186464040987
FBgn0036007	0.717143347556618	-0.231720288882095	-0.406393754292844	8.38500973538497	12.027153207092	3.97330505481441e-06	0.000239186464040987
FBgn0028684	0.0358880444187518	-0.407524090879221	-0.572557184422552	5.8571077807242	12.0268035538016	3.97451751480537e-06	0.000239186464040987
FBgn0036301	-0.244024397392287	-1.17546709716473	0.018680869341969	3.20713102947285	12.0094060610913	4.0353317899012e-06	0.000241051792244982
FBgn0024957	-1.78447292878101	-1.9485892821428	-0.00591912299726019	8.69126972809548	12.0027309978242	4.05892017516753e-06	0.000241051792244982
FBgn0036208	-1.395533345436	-1.86418845541974	-0.52542142757001	5.25276309078122	11.9826090336881	4.13089552971381e-06	0.000243722836253115
FBgn0026563	-0.377260371663479	2.39719483292483	2.50815046462982	2.82935227820784	11.9589002904577	4.21740049326178e-06	0.000247210871770611
FBgn0029905	0.272194800754742	0.992251109970696	0.792290809745733	4.05941376612391	11.9494145917174	4.25253421550214e-06	0.000247662105569922
FBgn0050052	-0.271179628643409	-0.215320032315659	-0.519430209097683	7.51214824715575	11.9351250950095	4.30603404099932e-06	0.000249170315949365
FBgn0034417	0.815673464910752	-0.892125870342515	-0.547202610810823	4.14350673948096	11.9207223527264	4.36066382486682e-06	0.000249606796003734
FBgn0036257	0.312879209075576	0.375861201130421	-0.26634459729677	6.58450496658839	11.9185725753483	4.36887933627893e-06	0.000249606796003734
FBgn0029801	0.191342078020488	0.722896203488666	0.687652843850783	6.94956503437711	11.8632273387643	4.58599867569294e-06	0.000260363585191699
