groupS.NS1	groupS.NS2	groupS.NS3	AveExpr	F	P.Value	adj.P.Val
FBgn0286786	-2.14874101684249	-0.429535480356121	0.157232194124226	3.98159999222691	10.8660639421347	1.1314007309148e-05	0.000623121345883406
FBgn0043783	0.609967732670027	0.703160405432473	1.57382504884334	8.06523739036324	10.8647995382116	1.13269398957532e-05	0.000623121345883406
FBgn0035282	-2.31464432670134	-2.42351708243557	-2.350101017409	3.23144455835132	10.8631888965508	1.13434360563454e-05	0.000623121345883406
FBgn0033656	-0.168978572374761	-0.453683863788192	-0.467189477605451	4.45266625453687	10.8514577096079	1.14643399479413e-05	0.000623121345883406
FBgn0024957	-2.46161151943864	-0.620859299105082	-0.588999905233202	8.82161164084623	10.8484862678659	1.14951755828118e-05	0.000623121345883406
FBgn0050431	0.0112274712506191	1.35220731446194	1.47383281362167	4.70222023188881	10.8469053818762	1.1511615963993e-05	0.000623121345883406
FBgn0031775	0.0776129754250511	0.0777780308187059	0.602545730301075	4.67066081819723	10.8453534038348	1.15277794131526e-05	0.000623121345883406
FBgn0028684	0.0595910413230655	-0.352054376308805	-0.453632165778513	5.84599395764292	10.7881277032325	1.2140486848559e-05	0.000649020218614066
FBgn0086558	0.362378975136045	-0.0565883745310723	-0.365936115761401	8.42584459329862	10.7871988784991	1.21507053224523e-05	0.000649020218614066
FBgn0032076	0.816600874033792	0.657727180598709	1.26082418100594	6.79533868849067	10.7761536204117	1.22729050463246e-05	0.000651691257959836
FBgn0038738	1.27123901068635	0.670865072040057	0.571099775093193	6.64024962248834	10.7615103361276	1.24368774658934e-05	0.000654750180763544
FBgn0032156	-0.185466552960966	-0.174995657997608	-0.284282834473653	8.10671352759038	10.7580835348729	1.24755767244189e-05	0.000654750180763544
FBgn0037074	0.524053309482032	0.146902488273427	-0.132550437095095	7.46285502529566	10.7442213329325	1.26334015870488e-05	0.000659200671250226
FBgn0086450	-2.06345628155674	-0.981398922620592	-0.118243289530943	7.28923550656896	10.7182772315847	1.29343644759332e-05	0.000671025908760053
FBgn0033830	-3.25871586257627	-5.12002372656563	-4.15345440349807	-0.0275171229626629	10.6973564388664	1.31824599522087e-05	0.00067771230771128
FBgn0036248	-0.442876502604705	-0.571681023642862	-0.627912846985217	4.01259196425402	10.6947760077226	1.32134004826836e-05	0.00067771230771128
FBgn0032536	-0.427474185552106	-0.348702567361584	-0.59575750038347	5.06957926541818	10.682225851193	1.33649587609619e-05	0.000681612896809056
FBgn0043791	5.84670099933752	0.930746395362664	-0.842331478122516	3.6271699202452	10.649943314243	1.37631398796703e-05	0.000696487547197833
FBgn0037010	-0.726764554246569	-0.966264861016568	-0.448091181010516	6.41529779955474	10.6443814831465	1.3832972434645e-05	0.000696487547197833
FBgn0032322	-2.23173816397414	-0.715890033092763	-0.323569765596733	6.53743254033006	10.6339426746296	1.39650314127507e-05	0.000696487547197833
FBgn0031110	0.157200941911999	0.772065789558633	1.21543947081318	4.4787783832846	10.6339260535012	1.39652427210378e-05	0.000696487547197833
FBgn0038147	0.300449525798384	0.70700597197771	1.25544777308424	6.58642630130298	10.5915497955001	1.45149007504129e-05	0.000719359007535791
FBgn0025839	-0.0236474603012797	0.621971655561966	1.12798008256384	5.7572346376576	10.5863994098018	1.45832168360529e-05	0.000719359007535791
FBgn0029801	0.263993523331469	0.845835745506674	0.575713285070365	6.92731307922477	10.5170913958767	1.55356298305991e-05	0.000759158294317763
FBgn0266666	-0.0283956077185582	-0.264204157974227	-0.551023360549785	4.28248218386376	10.5154996005619	1.55582457570385e-05	0.000759158294317763
FBgn0010602	-0.216208937099927	0.227953339190165	0.488516775983966	5.82565248946865	10.4965989802117	1.58294036489488e-05	0.000768236702898176
FBgn0263607	-0.483696686736875	-0.746377293158037	-0.876996617309795	4.63463253828999	10.4848762218689	1.60000397223093e-05	0.000772365553867839
FBgn0263236	-0.497888044076557	-0.0618917179019977	-0.272619233665372	6.28889606883007	10.4722401172096	1.61861056816103e-05	0.000777191361637745
FBgn0283531	-0.970142496354367	-0.468637064036576	-0.374832997448678	3.92630995330449	10.458532936569	1.63904794670259e-05	0.000782840519306046
FBgn0033224	0.881924327034081	0.868861967051115	0.448847405826041	6.37549440765457	10.4466755959146	1.65694280758836e-05	0.000787222248636848
FBgn0034046	-1.58340596191042	-1.09092133524925	-0.144620909599867	6.56058860230929	10.4357194978932	1.67365743310911e-05	0.000789590577051219
FBgn0039800	0.000137346112524105	0.486868454520309	0.792128828138846	8.01899031515459	10.4319674450652	1.67942163281083e-05	0.000789590577051219
FBgn0046878	-0.504152182746828	-0.979142315003355	-1.16058388391657	2.49924494691673	10.4216817806173	1.6953289741818e-05	0.000792939619167828
FBgn0028670	-0.359094870183384	-0.2457055193345	-0.381737398629674	7.1147626877428	10.4103216206198	1.71307958448086e-05	0.000797111825211789
FBgn0051174	-1.69942637957568	-2.33297269094745	-1.29373004501895	0.494558652132464	10.4000982091882	1.72921856857914e-05	0.00079868565896954
FBgn0038095	0.294568492963434	-1.95573834683073	-2.64362366582382	0.72604593035901	10.3969893908467	1.73415740731173e-05	0.00079868565896954
