baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0000229	1777.39414153433	-0.0661778184069286	0.0871236778443719	7.16137404237179	0.127602153700461	0.247577259727577
FBgn0000239	2576.23587119585	-0.151770408320394	0.109943199858226	3.14333629290593	0.534131415483875	0.665746117862775
FBgn0000241	548.714422686527	0.204018020797379	0.155202137720896	2.70914047966539	0.6076160960533	0.725488361470798
FBgn0000244	2376.88873797747	-0.0450920784388963	0.0611861123028514	4.56426070800796	0.334995679495487	0.48781684876025
FBgn0000246	87.5488460937958	0.0588951329049251	0.178155479180035	3.21369210534567	0.522722279136683	0.655418347496099
FBgn0000247	1846.90586373556	0.0328344799083132	0.065786183875424	2.26690016969837	0.686801711907946	0.783824288384634
FBgn0000250	3223.21949780068	-0.184071531949937	0.120511758854415	17.4791014964446	0.00155955343854339	0.00979124686077906
FBgn0000253	45927.0636176897	0.234573656026095	0.10569864260521	12.1494532573047	0.0162738162965182	0.0547966112909629
FBgn0000256	1699.36109791121	0.131357561456787	0.0732187097657358	24.8705836499695	5.34156458266449e-05	0.000675101943893058
FBgn0000257	595.365473565728	0.26412232416106	0.095339077130578	12.4328851380201	0.0144064327052598	0.049924596287352
FBgn0000259	2358.80905648477	0.00726004993345706	0.0912340210865647	2.01826910942486	0.73239851397929	0.817737635594289
FBgn0000261	8422.74369206545	-0.159923618840845	0.103433547949899	11.9925119450544	0.0174070352872091	0.0576867743047283
FBgn0000273	6446.65253686442	0.0604128632846039	0.0747007377533476	1.81712194687884	0.769348341351801	0.844137182139634
FBgn0000276	29.9020936541908	0.50358284193632	1.93907950332496	16.8595082072149	0.00205828105616855	0.012029746276467
FBgn0000277	33.4981883352094	-0.154227863283874	1.36743310356119	2.45422980463889	0.652849977063519	0.758213409655237
FBgn0000279	15.3375849459802	-0.761800293475625	2.0956837393237	16.2925302938376	0.00265073178552401	0.0144620336351685
FBgn0000283	1814.49315633085	-0.114833375057255	0.0527495899323788	5.3788734518032	0.250583538178595	0.397550254663087
FBgn0000286	1573.89525916354	0.404788875802344	0.0704824569584795	63.1518091111459	6.30456859485965e-13	7.58565693333513e-11
FBgn0000287	487.128359883965	-0.0107611493956401	0.0985640734697924	3.38847814534984	0.495036760277913	0.631943941823156
FBgn0000289	3603.18117377415	0.0552071042220392	0.0590765157973158	3.40368069839099	0.49267418904396	0.629551385150481
FBgn0000299	9008.59715608749	-0.0532678066310855	0.150861248882476	9.51712989889529	0.0493964536166706	0.126678749043965
FBgn0000303	2286.18761326211	0.187574187393399	0.0668378244061115	20.4041857530677	0.000415514830272083	0.00342742763105601
FBgn0000307	1614.35395701839	-0.0884484211394682	0.0620562125302219	2.98167864753998	0.560896101868359	0.687053946417819
FBgn0000308	5448.3939163941	0.149831383918824	0.0683621883749455	6.36782123797195	0.173311581546627	0.307503679094919
FBgn0000316	714.668252170963	-0.199965978073426	0.0853022030453822	18.3643753012037	0.0010472917154021	0.00704754693496537
FBgn0000317	1125.48587670776	0.0135702079477455	0.078205282819318	0.0909250561804811	0.998997372982708	0.999440387338798
