baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0000228	1419.20733969208	0.130853232636552	0.0471884687588394	9.62575807107407	0.0472263605368952	0.199544864207505
FBgn0000229	1687.1955237605	-0.0613440492041401	0.0716795285864825	10.9664469443464	0.0269437037479215	0.144366412658845
FBgn0000239	2450.07377113175	-0.0630108018426622	0.0989254785835908	8.53767411583999	0.0737534583603584	0.255119355026978
FBgn0000241	524.581445801767	-0.0799919181001166	0.143719179819743	2.72119069933274	0.605511638036192	0.768676618036371
FBgn0000244	2314.87873023317	0.0489436124504435	0.0642283359421428	4.52380389259724	0.339734278098933	0.57105484189394
FBgn0000246	81.4478072785803	-0.171593447621623	0.190049596365264	3.4945798743579	0.478702964977237	0.684305585074399
FBgn0000247	1772.39215264122	0.0560953780789344	0.0630849390038548	2.80565383310091	0.590857155495593	0.759445030489563
FBgn0000250	3018.38927111425	0.262712479070039	0.0992348933291021	8.1490128026187	0.0862696742413221	0.277721065178693
FBgn0000253	43953.7774545073	-0.0885206003058621	0.084536290280028	7.89599176637671	0.095463313162001	0.292194931797079
FBgn0000256	1683.82668748831	-0.181374837599762	0.0870322325827016	8.08979235564743	0.08834381366372	0.281736522184947
FBgn0000257	577.901418924774	0.114818228271575	0.068821182869529	4.70811401984554	0.31857850555785	0.551099282141196
FBgn0000259	2232.06163240325	-0.125783972609425	0.0770467603136884	7.52708022217564	0.110521080943484	0.313496294672449
FBgn0000261	8469.43332865967	0.000825641262567564	0.104256256343383	8.1019809261893	0.0879131303010611	0.28099191452585
FBgn0000273	6096.71724542526	-0.0499535458651867	0.0774990049069146	4.33411899357054	0.362672178266347	0.592110760586102
FBgn0000276	15.5109503815679	0.320418881277412	1.64608024215762	8.43934000311316	0.0767473961286426	0.261509358348281
FBgn0000277	45.8591280336556	-0.863783564587469	1.27263306432616	8.02055925862942	0.0908279790483523	0.285653835815017
FBgn0000278	1.60799663251687	2.0092442334497	1.92565707440065	3.54291249876439	0.471383474397476	0.678789193981556
FBgn0000279	6.57361216483274	1.09645524338158	1.94018461515285	6.09947045432574	0.19184189222552	0.42191573474987
FBgn0000283	1738.58761913654	-0.064136693937333	0.052858393189012	2.1585828208913	0.706618584692916	0.8284266005602
FBgn0000286	1566.57364505126	-0.180461058975228	0.0639071172654176	30.4511578048774	3.96109537607356e-06	0.000268729049460991
FBgn0000287	483.589899432727	0.0676291080651669	0.0938578591949482	4.22340365582193	0.376614922287512	0.603618367573616
FBgn0000289	3455.39404731756	-0.0319074831421667	0.0673440897842946	1.01625956210205	0.907320568128146	0.947474860761503
FBgn0000299	8376.34985206747	0.28763973379726	0.146866409220639	6.58193038140689	0.159700754882926	0.382222788145527
FBgn0000303	2202.18064512419	-0.046855047560321	0.0792455125886523	5.50114496217122	0.239628854754797	0.476669126202057
FBgn0000307	1541.09589331202	-0.0688414617081127	0.0674144114599702	4.19552586175394	0.38019054600235	0.605981151135702
FBgn0000308	5306.86031625667	-0.0221059427580873	0.0599402407620485	9.30717688059144	0.053863728158412	0.215335586696212
FBgn0000316	658.360872143243	-0.102695072163023	0.0700908687558002	24.9017015204819	5.26518910503361e-05	0.00199450438978209
FBgn0000317	1090.64104785303	-0.123135396088327	0.0722576673245568	8.21059915165552	0.0841612697219072	0.274149515736052
FBgn0000318	1317.3573484734	0.142234088253503	0.0802921862239015	6.14224951212123	0.188773868740616	0.418931309714834
FBgn0000319	10280.0910630394	-0.00127780552732938	0.0417670240905288	3.36973325893644	0.497959975737462	0.696948654434664
FBgn0000320	826.799708399474	0.0219036197248093	0.141083009424492	3.38795254076297	0.495118574451201	0.695524306897766
FBgn0000326	452.172793186044	-0.1146715523609	0.10697627128235	4.51773675490983	0.340449537408931	0.571724581433238
FBgn0000330	531.840992207894	0.17496176947086	0.0814520963137347	12.1846194959427	0.0160299138764021	0.104734187477752
FBgn0000339	677.811912224613	-0.0370177235496851	0.0825459237959851	10.5054952210592	0.0327213789004888	0.161689486209809
FBgn0000346	6303.41134774122	0.00954551770202438	0.0682757518508704	2.27584923000177	0.685169474968233	0.817546174641413
FBgn0000352	799.336152920256	-0.020405567227098	0.0744311740143167	3.15991347978331	0.531429832078386	0.72052462431905
FBgn0000370	5135.42751941333	-0.0876191509788795	0.0929414786130395	3.41469255099014	0.490967495249057	0.6922450451912
FBgn0000376	538.31195891455	0.050631354085751	0.0842464501401631	5.56360984795094	0.234194447798868	0.470631737748147
FBgn0000377	612.665137818832	-0.0238889385739174	0.0649736402704202	1.71831627643712	0.787387821896082	0.879632241976691
FBgn0000382	7897.89622678621	-0.0623364748490156	0.0674796540954819	2.95187412028633	0.5659111875095	0.743154802051843
FBgn0000384	402.030906477568	-0.166307597553914	0.120630013562033	5.83245631241994	0.212014805248119	0.443647863579263
FBgn0000394	960.834018266698	0.314369151419384	0.0790985034626939	17.4498689143574	0.00158014082318227	0.0228954323251342
FBgn0000395	498.19544951017	0.113339911035354	0.102660211532848	13.0283777747339	0.0111379642620178	0.084381067620644
FBgn0000404	48.4802599958276	-0.173688919891718	0.207523921780999	7.56029784212654	0.10907961832906	0.311266728710659
FBgn0000405	33.1103978250074	-0.666119763158933	0.382246745265552	3.08853509433339	0.54312013560709	0.7278439007252
FBgn0000406	21186.0570949708	-0.233733435085591	0.205987106966979	2.34948453849756	0.671774803389094	0.812196710569448
FBgn0000411	311.948683363936	0.0804118061820664	0.0947849970662862	2.91353525598265	0.572397777302367	0.747366382126832
FBgn0000412	1746.1387065147	-0.0453883417437781	0.0681863139049944	5.4466603561674	0.244458015368327	0.481814039464485
FBgn0000414	4188.96023167379	0.0728425072512725	0.0707957772885445	2.69931749017417	0.609334048266915	0.771327317271658
FBgn0000416	23356.9919641655	-0.0593960373245352	0.0780493636913634	2.16721824525689	0.705035179476686	0.827570238639019
FBgn0000422	4154.91691490944	0.0663941799973449	0.103108023378109	7.7867567666018	0.0997093881527064	0.298267317687749
FBgn0000426	78.752866157407	-0.211659765308984	0.177314608695958	4.23674294761042	0.374913265494629	0.602679920641018
FBgn0000439	772.683632239683	0.113910753496552	0.0868184029241811	7.65184632826583	0.105196934557629	0.306230583762587
FBgn0000442	157.637953177506	0.244476188107531	0.140029049239676	3.32494077174363	0.504990340518738	0.701651962195962
FBgn0000447	481.272096162053	0.0729648862430236	0.0742340727035275	12.6275230958986	0.0132467395186745	0.0930158215385214
FBgn0000448	336.151627019047	-0.0939306882360626	0.17771760704871	6.96424858040268	0.137789629033696	0.354714928037387
FBgn0000451	66.8606741364765	0.292991502972048	0.259696417432399	24.7938897977706	5.53453335422668e-05	0.00203272557489309
FBgn0000454	2076.20615318445	0.0167132086475074	0.0902858761980225	4.11600289476951	0.390534148037322	0.615423208007349
FBgn0000455	890.064784076184	-0.0854815810943231	0.0730268182685562	4.75255483767535	0.313641811579112	0.547038168314136
FBgn0000459	807.511174876232	-0.484854694469459	0.201548905067544	11.8034755533935	0.018874102302554	0.114990563859517
FBgn0000463	244.088939813173	0.212838562805466	0.140170889530124	8.78493275741698	0.0667057905976843	0.24250054333719
FBgn0000464	365.85155859953	-0.226494438810254	0.139242695085534	6.90829372933297	0.140814575319964	0.35800254881959
FBgn0000473	976.293408143472	-0.074764639027743	0.257968407451875	0.210510643031739	0.994834434614891	0.997529389258748
FBgn0000477	2437.25248746634	-0.375220406876663	0.202341326346184	7.96710739456375	0.0927905508695515	0.288905845581768
FBgn0000479	5225.12483085601	-0.122100404539417	0.0932543075622695	7.0462004393313	0.133466793270492	0.34822298461839
FBgn0000482	444.352842501506	0.116071016091757	0.0741492738953212	5.29289082843115	0.258543174341872	0.496856455132809
FBgn0000489	1418.62644607659	-0.0208430576539747	0.0796232296023268	2.39950828452925	0.662716129139066	0.806757640747679
FBgn0000490	480.418230457961	0.0963287086304822	0.142999634907826	9.25879922948445	0.0549464162498377	0.217925940141664
FBgn0000492	245.504674121797	-0.230358296224901	0.215527606928584	47.2242667349493	1.3693990817207e-09	5.54101537575718e-07
FBgn0000499	696.987052650062	0.051166282693604	0.0654387157721459	1.73280112350153	0.784750992093548	0.877943561052349
FBgn0000500	637.278619293092	-0.0257438224865778	0.09634286280598	3.15605949559233	0.532057185302493	0.721077598068457
FBgn0000504	817.964995517112	0.195998742674372	0.255088142524972	9.99323882488159	0.0405417272312766	0.184581804702564
FBgn0000520	280.991103412977	0.200157462686101	0.128438351951881	15.3152851617208	0.00409004169482913	0.0437256471711413
FBgn0000524	275.799162284775	0.0530027703889336	0.1078108270839	6.18413219511035	0.185812700956381	0.415144909004285
