	A_V_0_5	A_V_1	A_V_2	A_V_3	A_V_4	A_V_5	A_V_6	A_V_8	A_V_12	A_V_24	B_V_0_5	B_V_1	B_V_2	B_V_3	B_V_4	B_V_5	B_V_6	B_V_8	B_V_12	B_V_24	C_V_0_5	C_V_1	C_V_2	C_V_3	C_V_4	C_V_5	C_V_8	C_V_12	C_V_24
FBgn0000181	8.66298881098918	8.7366796655161	8.68569160399017	8.73849118670291	8.89229672819806	8.76046298995039	8.69451882759028	8.99647495072305	8.75696040050802	8.89064072804956	8.83621123861308	8.86962215568099	8.98035688782116	8.77752677518018	8.89995290183931	8.91198942883317	8.86953801916237	8.76129522608133	8.70712980935296	9.01213892541168	8.80036660977381	8.76322275761672	8.68144621290165	8.70973278228192	8.78042325906029	8.75993443348062	8.81792827186298	8.80691810206737	8.97892141699549
FBgn0000406	9.99919091420438	9.90641119477094	9.42326895251798	10.0187669120712	10.015933045702	9.89054446393355	9.78502014299881	10.3414112238069	9.83560255271451	9.72582993834482	10.0380786621851	9.84298902620608	9.81511118652758	9.72137311503872	9.94580155223221	10.315168310456	10.1054034604489	9.84134116000372	9.94967346909422	10.230986774064	10.3589044625215	10.4739699597508	10.4380885790735	10.290035170223	10.0858569415109	10.2669488103888	10.3172709800274	10.0518466756955	10.2708211725389
FBgn0000411	3.9767799364008	3.93644301438074	4.00298995265768	4.13538644794712	3.90426140887068	3.7166419587699	3.73904536890316	3.66005010643191	3.75394289494194	3.947096623213	4.08376846968697	4.07023296281406	4.099329818139	4.02957402251062	4.14996918469676	4.08073363672626	3.92920185541774	3.78741392810332	3.99160459929057	4.15403609640968	4.16157431486922	3.97896365761789	3.94355027716335	3.97278567005979	4.06775959624477	3.94423688891486	3.91973634968471	3.94997638668711	4.00809436926212
FBgn0000463	3.7793363139122	3.52288490553254	3.73997452134108	3.46566055577264	3.44840720224223	3.44446566758225	3.35242066900493	3.91770050469257	3.70148867197951	4.06403595303999	3.43943233327023	3.59607959393188	3.53488864383505	3.98975212454283	3.55260191512266	3.48172660581928	3.44657027461952	3.69246953971903	3.66493711074384	3.80371695677087	3.60463900493375	3.56536260426197	3.64096868296944	3.62268880316969	3.66142481439796	3.60759945487608	3.63893395496992	3.48247986659788	3.60190679390478
FBgn0000473	5.28469376726339	5.56739997839191	5.77793700103972	5.63461746752645	5.78180261539763	5.82028736631622	5.71863151643133	5.93805861449774	5.19773741359362	5.70148503326904	5.40657284218411	5.10811899422353	5.49363925381019	5.96102308172516	5.21387369280536	5.51510959533983	5.12345038292071	5.26618546858369	4.92046100409039	4.71327417767638	6.07242075497686	6.23547833223114	5.8281318837025	6.35428150687951	5.89422452932061	5.52139126048943	5.55792871839912	4.95165272705797	5.24528090358893
FBgn0000490	4.58844349917537	4.47836369847163	4.70975682917985	4.68256223081795	4.54185931227558	4.56859882360544	4.33576130614577	4.68732554223042	4.90481298468985	4.54459020935843	4.14272059380939	4.54755304200703	4.67984923037553	4.65353101887787	4.74853653768239	4.64646784524628	4.56901496536228	4.5661225645484	4.42860592993159	4.44522571568183	4.20491953976529	4.46397398233297	4.41792392122158	4.51167065293326	4.60178969939642	4.56442102746085	4.51553232150602	4.85765689793547	4.53523680272465
FBgn0000492	3.58196538689011	3.62979482675842	3.46697974473023	3.84433822181636	3.62905534819316	3.5174728791998	3.19157121578928	3.5483742690371	3.35763375143933	3.1230400890236	3.2670823245758	3.80477303758606	3.57575144883656	3.67518390596537	3.30421895527547	3.80566449719578	3.56862893306798	3.45451353198177	2.98658962797437	3.4147698212619	3.53161365117346	4.1610424258057	3.71663803682659	3.88592262428198	3.50021168242478	3.90993345993351	4.0441192004582	3.41667576591661	3.68273731350357
FBgn0000504	5.21420053135677	5.4199536223344	5.12223767870658	5.51517297510909	5.02230239314825	5.22473877892788	4.95271690751058	5.55669176786093	5.04536628530354	5.52911760870361	5.21259412609845	5.24806552335568	5.17696568910033	5.32019100837932	5.08549328140172	5.04088025953748	5.30418372381125	5.28736200863251	4.75810864246609	5.5829705765943	5.39495487886892	5.41259071465122	5.15814756396181	4.9811339491739	5.43178616725253	5.33635690616006	5.23896662310408	4.74821751405593	5.43556145596504
FBgn0000524	3.85850550798847	4.042100869462	3.9821126059725	3.80141292250338	3.80039049453407	3.86643503333028	3.8082275500518	3.87204192104665	3.83586483430058	3.947096623213	3.43085672788364	3.83045002874968	3.83895471214203	3.7722704568501	3.87213584386501	3.91729076755017	4.01759345654429	3.63955538725916	3.62959265116767	3.92451101370047	3.60463900493375	3.63221573449234	3.71048165588711	3.98850592008217	3.73016052418369	3.90496570214467	3.93817546710146	3.87437005455235	3.76988869801496
FBgn0000529	2.02671187553976	2.31608142396993	2.06810901075548	1.93988855714978	2.05504099774711	2.20763506087114	1.97661540948221	2.21333220470681	2.24270355516116	2.40770219701907	1.64765981252584	2.22950743896205	2.28552723859209	2.48668538373907	2.22083036203521	1.94835610378295	2.37313050387253	2.26497568305187	1.73181506197969	2.19117175259777	1.86776677096362	1.44875356696234	1.92519477592497	2.08166755647865	2.37641293016977	2.24767576983388	2.16217710150146	2.46703805859133	2.10273979864096
